PROVNO,KABKOTNO,PROVINSI,KABKOT;;;;;;,,,,,,,
53,13,NUSA TENGGARA TIMUR,MANGGARAI,1144084,120.411949,-8.597235,,,,
53,14,NUSA TENGGARA TIMUR,ROTE NDAO,1144084,123.135392,-10.737694,,,,
53,15,NUSA TENGGARA TIMUR,MANGGARAI BARAT,1144084,119.969158,-8.605137,,,,
53,16,NUSA TENGGARA TIMUR,SUMBA TENGAH,1144084,119.643253,-9.54731,,,,
53,17,NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,1144084,119.153587,-9.527309,,,,
53,18,NUSA TENGGARA TIMUR,NAGEKEO,1144084,121.264667,-8.685237,,,,
53,19,NUSA TENGGARA TIMUR,MANGGARAI TIMUR,1144084,120.673915,-8.568518,,,,
53,20,NUSA TENGGARA TIMUR,SABU RAIJUA,SABU RAIJUA,1144121,121.817349,-10.534481,,,
53,21,NUSA TENGGARA TIMUR,MALAKA,1144121,124.909519,-9.503229,,,,
53,71,NUSA TENGGARA TIMUR,KOTA KUPANG,1144121,123.598238,-10.174949,,,,
61,1,KALIMANTAN BARAT,SAMBAS,1144121,109.394171,1.389769,,,,
61,2,KALIMANTAN BARAT,BENGKAYANG,1144121,109.481905,0.854382,,,,
61,3,KALIMANTAN BARAT,LANDAK,1144121,109.682503,0.488883,,,,
61,4,KALIMANTAN BARAT,PONTIANAK,1144121,109.334981,-0.026468,,,,
61,5,KALIMANTAN BARAT,SANGGAU,1144121,110.583773,0.339188,,,,
61,6,KALIMANTAN BARAT,KETAPANG,1144121,110.495882,-0.979122,,,,
61,7,KALIMANTAN BARAT,SINTANG,1144121,111.47816,0.052806,,,,
61,8,KALIMANTAN BARAT,KAPUAS HULU;;;;;;,,,,,,,
61,9,KALIMANTAN BARAT,SEKADAU;;;;;;,,,,,,,
61,10,KALIMANTAN BARAT,MELAWI;;;;;;,,,,,,,
61,11,KALIMANTAN BARAT,KAYONG UTARA;;;;;;,,,,,,,
61,12,KALIMANTAN BARAT,KUBU RAYA;;;;;;,,,,,,,
61,71,KALIMANTAN BARAT,PONTIANAK,1144035,109.341503,-0.026468;;;;;;,,,,
61,72,KALIMANTAN BARAT,SINGKAWANG,1144035,108.982294,0.906165;;;;;;,,,,
62,1,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,1144035,111.748093,-2.451476;;;;;;,,,,
62,2,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,1144035,112.753566,-2.010304;;;;;;,,,,
62,3,KALIMANTAN TENGAH,KAPUAS,1144035,112.683442,0.905819;;;;;;,,,,
62,4,KALIMANTAN TENGAH,BARITO SELATAN,1144021,114.8092691,-1.875943,,,,
62,5,KALIMANTAN TENGAH,BARITO UTARA,1144021,115.094045,-0.9587136,,,,
62,6,KALIMANTAN TENGAH,SUKAMARA,1144021,111.2368084,-2.6267517,,,,
62,7,KALIMANTAN TENGAH,LAMANDAU,1144021,111.2845025,-1.8526377,,,,
62,8,KALIMANTAN TENGAH,SERUYAN,1144021,112.4291464,-3.0123467,,,,
62,9,KALIMANTAN TENGAH,KATINGAN,1144021,112.8105512,-0.9758379,,,,
62,10,KALIMANTAN TENGAH,PULANG PISAU,1144021,113.9536466,-2.6849607,,,,
62,11,KALIMANTAN TENGAH,GUNUNG MAS,1144021,113.5728501,-1.2522464,,,,
62,12,KALIMANTAN TENGAH,BARITO TIMUR,1144021,115.188916,-2.0123999,,,,
62,13,KALIMANTAN TENGAH,MURUNG RAYA,1144021,114.3341432,-0.1362171,,,,
62,71,KALIMANTAN TENGAH,PALANGKA RAYA,1144097,113.913977,-2.2161048,,,,
63,2,KALIMANTAN SELATAN,KOTA BARU,1144097,115.9467997,-3.0029841,,,,
63,3,KALIMANTAN SELATAN,BANJAR,1144097,114.9991464,-3.3200228,,,,
63,4,KALIMANTAN SELATAN,BARITO KUALA,1144097,114.6667939,-3.0714738,,,,
63,5,KALIMANTAN SELATAN,TAPIN,1144097,115.0465991,-2.9160746,,,,
63,6,KALIMANTAN SELATAN,HULU SUNGAI SELATAN,1144097,115.2363408,-2.7662681,,,,
63,7,KALIMANTAN SELATAN,HULU SUNGAI TENGAH,1144097,115.5207358,-2.6153162,,,,
63,8,KALIMANTAN SELATAN,HULU SUNGAI UTARA,1144097,115.188916,-2.4421225,,,,
63,9,KALIMANTAN SELATAN,TABALONG,1144097,115.5681084,-1.864302,,,,
63,10,KALIMANTAN SELATAN,TANAH BUMBU ,114082,-3.4512244,115.5681084,,,,
63,11,KALIMANTAN SELATAN,BALANGAN,114082,-2.3260425,115.6154732,,,,
63,71,KALIMANTAN SELATAN,BANJARMASIN,114082,-3.3186067,114.5943784,,,,
63,72,KALIMANTAN SELATAN,BANJAR BARU,114082,-3.4572422,114.8103181,,,,
64,1,KALIMANTAN TIMUR,PASER,114082,-1.7175266,115.9467997,,,,
64,2,KALIMANTAN TIMUR,KUTAI BARAT,114082,-0.4051796,115.8521764,,,,
64,3,KALIMANTAN TIMUR,KUTAI KARTANEGARA,114082,-0.1336655,116.6081653,,,,
64,4,KALIMANTAN TIMUR,KUTAI TIMUR,114082,0.9433774,116.9852422,,,,
64,5,KALIMANTAN TIMUR,BERAU,114082,2.0450883,117.3616476,,,,
64,9,KALIMANTAN TIMUR,PENAJAM PASER UTARA ,114082,-1.2917094,116.5137964,,,,
64,11,KALIMANTAN TIMUR,MAHAKAM ULU,1144054,114.7142918,0.9616678000000001;;;;;;,,,,
64,71,KALIMANTAN TIMUR,BALIKPAPAN,1144054,116.8528526,-1.2379274;;;;;;,,,,
64,72,KALIMANTAN TIMUR,SAMARINDA,1144054,117.1436154,-0.4948232;;;;;;,,,,
64,74,KALIMANTAN TIMUR,BONTANG,1144054,117.4800445,0.120863;;;;;;,,,,
65,1,KALIMANTAN UTARA,MALINAU,1144054,116.0413889,3.0730929;;;;;;,,,,
65,2,KALIMANTAN UTARA,BULUNGAN,1144054,116.9852422,2.9042476;;;;;;,,,,
65,3,KALIMANTAN UTARA,TANA TIDUNG,1144054,117.0794082,3.551869;;;;;;,,,,
65,4,KALIMANTAN UTARA,NUNUKAN,1144054,116.6081653,4.0809649;;;;;;,,,,
65,71,KALIMANTAN UTARA,TARAKAN,1144054,117.5785049,3.3273599;;;;;;,,,,
71,1,SULAWESI UTARA,BOLAANG MONGONDOW,1144054,124.0641419,0.6870994;;;;;;,,,,
71,2,SULAWESI UTARA,MINAHASA,1144015,124.8182593,1.2168837;;;;;;,,,,
71,3,SULAWESI UTARA,KEPULAUAN SANGIHE,1144015,125.5000999,3.6329172;;;;;;,,,,
71,4,SULAWESI UTARA,KEPULAUAN TALAUD,1144015,126.8034921,4.3066741;;;;;;,,,,
71,5,SULAWESI UTARA,MINAHASA SELATAN,1144015,124.4641848,1.0946773;;;;;;,,,,
71,6,SULAWESI UTARA,MINAHASA UTARA,1144015,124.994751,1.5327973;;;;;;,,,,
71,7,SULAWESI UTARA,BOLAANG MONGONDOW UTARA,1144015,123.2657311,0.9070359;;;;;;,,,,
71,8,SULAWESI UTARA,SIAU TAGULANDANG BIARO,1144015,125.4124355,2.345964;;;;;;,,,,
71,9,SULAWESI UTARA,MINAHASA TENGGARA,1144015,124.7298765,1.0278551;;;;;;,,,,
71,10,SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,1144015,123.8411288,0.4053215;;;;;;,,,,
71,11,SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,1144015,124.4641848,0.7152651;;;;;;,,,,
71,71,SULAWESI UTARA,MANADO,1144011,1.248.420.794,14.748.305;;;;;;,,,,
71,72,SULAWESI UTARA,BITUNG,1144011,12.512.085.847,143.887.284;;;;;;,,,,
71,73,SULAWESI UTARA,TOMOHON,1144011,12.484.085.142,132.286.934;;;;;;,,,,
71,74,SULAWESI UTARA,KOTAMOBAGU,1144011,1.243.199.316,0.72409437;;;;;;,,,,
71,88,SULAWESI UTARA,DANAU,1144011,1.248.955.195,12.236.791;;;;;;,,,,
72,1,SULAWESI TENGAH,BANGGAI KEPULAUAN,1144011,1.226.277.455,-0.95616761;;;;;;,,,,
72,2,SULAWESI TENGAH,BANGGAI,1144011,12.262.754.112,-0.95608368;;;;;;,,,,
72,3,Sulawesi Tengah,MOROWALI,1144011,12.190.256.788,-269.649.398;;;;;;,,,,
72,4,SULAWESI TENGAH,POSO,1144011,12.075.484.488,-139.408.592;;;;;;,,,,
72,5,SULAWESI TENGAH,DONGGALA,1144011,1.198.352.303,-0.4233155;;;;;;,,,,
72,6,SULAWESI TENGAH,TOLI-TOLI,1144100,120.757983,0.876823,,,,
72,7,SULAWESI TENGAH,BUOL,1144100,121.354163,0.969545,,,,
72,8,SULAWESI TENGAH,PARIGI MOUTONG,1144100,120.803947,0.581761,,,,
72,9,SULAWESI TENGAH,TOJO UNA-UNA,1144100,121.537,-1.098757,,,,
72,10,SULAWESI TENGAH,SIGI,1144100,119.88152,-1.38599,,,,
72,11,SULAWESI TENGAH,BANGGAI LAUT,1144100,123.550408,-1.673453,,,,
72,12,Sulawesi Tengah,MOROWALI UTARA,1144100,121.354163,-1.631176,,,,
72,71,SULAWESI TENGAH,PALU,1144100,119.877999,-0.900291,,,,
73,1,SULAWESI SELATAN,KEPULAUAN SELAYAR,1144100,120.504879,-6.286979,,,,
73,2,SULAWESI SELATAN,BULUKUMBA,1144100,120.20511,-5.432937,,,,
73,3,SULAWESI SELATAN,BANTAENG1,1144072,120.0202964,-5.5169316,,,,
73,4,SULAWESI SELATAN,JENEPONTO,1144072,119.6730939,-5.554579,,,,
73,5,SULAWESI SELATAN,TAKALAR,1144072,119.4875668,-5.4162493,,,,
73,6,SULAWESI SELATAN,GOWA,1144072,119.742604,-5.3102888,,,,
73,7,SULAWESI SELATAN,SINJAI,1144072,120.112735,-5.2171961,,,,
73,8,SULAWESI SELATAN,MAROS,1144072,119.6962677,-5.0549145,,,,
73,9,SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,1144072,119.5571677,-4.805035,,,,
73,10,SULAWESI SELATAN,BARRU,1144072,119.6499162,-4.436417,,,,
73,11,SULAWESI SELATAN,BONE,1144072,120.0665236,-4.7443383,,,,
73,12,SULAWESI SELATAN,SOPPENG,,1144072,119.9277947,-4.3518541,,,
73,13,SULAWESI SELATAN,WAJO,1144008,120.066524,-4.022229,,,,
73,14,SULAWESI SELATAN,SIDENRENG RAPPANG,1144008,120.020296,-3.773898,,,,
73,15,SULAWESI SELATAN,PINRANG,1144008,119.557168,-3.648349,,,,
73,16,SULAWESI SELATAN,ENREKANG,1144008,119.88152,-3.459074,,,,
73,17,SULAWESI SELATAN,LUWU,1144008,120.251273,-3.305221,,,,
73,18,SULAWESI SELATAN,TANA TORAJA,1144008,119.742604,-3.0753,,,,
73,22,SULAWESI SELATAN,LUWU UTARA,1144008,119.974053,-2.269045,,,,
73,25,SULAWESI SELATAN,LUWU TIMUR,1144008,121.171039,-2.582552,,,,
73,26,SULAWESI SELATAN,TORAJA UTARA,1144008,119.83523,-2.862194,,,,
73,71,SULAWESI SELATAN,MAKASSAR,1144008,119.432731,-5.147665,,,,
73,72,SULAWESI SELATAN,PAREPARE,1144025,119.6290617,-4.0096221;;;;;;,,,,
73,73,SULAWESI SELATAN,PALOPO,1144025,120.1985141,-3.0016343;;;;;;,,,,
74,1,SULAWESI TENGGARA,BUTON,1144025,122.9888319,-5.3096355;;;;;;,,,,
74,2,SULAWESI TENGGARA,MUNA,1144025,122.6277455,-4.901629;;;;;;,,,,
74,3,SULAWESI TENGGARA,KONAWE,1144025,122.0837445,-3.9380432;;;;;;,,,,
74,4,Sulawesi Tenggara,Kolaka,1144025,121.5826642,-3.9946988;;;;;;,,,,
74,5,SULAWESI TENGGARA,KONAWE SELATAN,1144025,122.4467238,-4.2027915;;;;;;,,,,
74,6,SULAWESI TENGGARA,BOMBANA,1144025,121.9017954,-4.6543462;;;;;;,,,,
74,7,SULAWESI TENGGARA,WAKATOBI,1144025,123.5951925,-5.3264442;;;;;;,,,,
74,8,SULAWESI TENGGARA,KOLAKA UTARA,1144025,121.1710389,-3.1347227;;;;;;,,,,
74,9,SULAWESI TENGGARA,BUTON UTARA,1144052,-4.7023424,123.03387670000006;;;;;;,,,,
74,10,SULAWESI TENGGARA,KONAWE UTARA,1144052,-3.3803291,122.08374449999997;;;;;;,,,,
74,11,SULAWESI TENGGARA,KOLAKA TIMUR,1144052,-4.2279225,121.90179539999997;;;;;;,,,,
74,71,SULAWESI TENGGARA,KENDARI,,1144052,-3.9984597,122.51297420000003;;;;;;,,,
74,72,SULAWESI TENGGARA,BAUBAU,,1144052,-5.4700112,122.59768409999992;;;;;;,,,
75,1,GORONTALO,BOALEMO,,1144052,0.7013419,122.26538870000002;;;;;;,,,
75,2,GORONTALO,GORONTALO,,1144052,0.5692733,122.80844960000002;;;;;;,,,
75,3,GORONTALO,POHUWATO,,1144052,0.7055278,121.71954589999996;;;;;;,,,
75,4,GORONTALO,BONE BOLANGO,,1144052,0.5657885,123.34861469999998;;;;;;,,,
75,5,GORONTALO,GORONTALO UTARA,,1144052,0.9252647,122.49200880000001;;;;;;,,,
75,7,GORONTALO,GORONTALO,1144099,122.4467238,"0.6999372			",,,,
76,1,SULAWESI BARAT,MAJENE,1144099,118.9062794,"-3.0297251		",,,,
76,2,SULAWESI BARAT,POLEWALI MANDAR,1144099,119.1390642,"-3.3419323		",,,,
76,3,SULAWESI BARAT,AMASA,1144099,119.3250347,"-2.9118209 		",,,,
76,4,SULAWESI BARAT,MAMUJU,1144099,119.3250347,"-2.4920057		",,,,
76,5,SULAWESI BARAT,MAMUJU UTARA,1144099,119.5107708,"-1.5264542			",,,,
76,6,SULAWESI BARAT,MAMUJU TENGAH,1144099,119.5107708,"-1.9354109			",,,,
81,1,MALUKU,MALUKU TENGGARA BARAT,1144099,131.3611121,"-7.5322642			",,,,
81,2,MALUKU,MALUKU TENGGARA,1144099,132.7271587,"-5.7512455		",,,,
81,3,MALUKU,MALUKU TENGAH,1144099,129.4864411,-3.0166501,,,,
81,4,MALUKU,BURU,1144087,126.7929368,-3.3927754;;;;;;,,,,
81,5,MALUKU,KEPULAUAN ARU,1144087,134.5542369,-6.19034625;;;;;;,,,,
81,6,MALUKU,SERAM BAGIAN BARAT,1144087,128.4008357,-3.1271575;;;;;;,,,,
81,7,MALUKU,SERAM BAGIAN TIMUR,1144087,130.2271243,-3.4233267;;;;;;,,,,
81,8,MALUKU,MALUKU BARAT DAYA,1144087,126.3498097,126.-7.7851588;;;;;;,,,,
81,9,MALUKU,BURU SELATAN,1144087,126.6957216,-3.7273972;;;;;;,,,,
81,71,MALUKU,AMBON,1144087,128.1988333,-3.64745861;;;;;;,,,,
81,72,MALUKU,TUAL,1144087,132.3429233,-5.56769;;;;;;,,,,
82,1,MALUKU UTARA,HALMAHERA BARAT,1144087,127.6070567,1.39740732;;;;;;,,,,
82,2,MALUKU UTARA,HALMAHERA TENGAH,1144087,128.3587174,0.4419543;;;;;;,,,,
82,3,MALUKU UTARA,KEPULAUAN SULA,1144088,125.9128434,-2.1216504,,,,
82,4,MALUKU UTARA,HALMAHERA SELATAN,1144088,127.7237678,-1.5109015,,,,
82,5,MALUKU UTARA,HALMAHERA UTARA,1144088,127.8936663,1.5074308,,,,
82,6,MALUKU UTARA,HALMAHERA TIMUR,1144088,128.4849923,1.3121235,,,,
82,7,MALUKU UTARA,PULAU MOROTAI,1144088,128.4008357,2.3656672,,,,
82,8,MALUKU UTARA,PULAU TALIABU,1144088,124.7740793,-1.8268344,,,,
82,71,MALUKU UTARA,TERNATE,1144088,127.3613533,0.7957999,,,,
82,72,MALUKU UTARA,TIDORE KEPULAUAN,1144088,127.681228,0.5060207,,,,
91,1,PAPUA BARAT,FAKFAK,1144088,133.0194897,-3.097706,,,,
91,2,PAPUA BARAT,KAIMANA,1144088,133.9436788,-3.288406,,,,
91,3,PAPUA BARAT,TELUK WONDAMA (1144020 Long : 134.3236557 Lat : -2.8551699),,,,,,,
91,4,PAPUA BARAT,TELUK BINTUNI (1144020 Long : 133.329466 Lat : -1.9056848',,,,,,,
91,5,PAPUA BARAT,MANOKWARI (1144020 Long : 134.0620421, Lat : 0.8614531',,,,,,
91,6,PAPUA BARAT,SORONG SELATAN (1144020 Long : 132.1572702 Lat : -1.7657744',,,,,,,
91,7,PAPUA BARAT,SORONG (1144020 Long : 131.255828 Lat : -0.8761629',,,,,,,
91,8,PAPUA BARAT,RAJA AMPAT (1144020 Long : 130.5052176 Lat : -1.0320468',,,,,,,
91,9,PAPUA BARAT,TAMBRAUW (1144020 Long : 132.3938375 Lat : -0.781856',,,,,,,
91,10,PAPUA BARAT,MAYBRAT (1144020 Long : 132.3150993 Lat : -1.2970979',,,,,,,
91,11,PAPUA BARAT,MANOKWARI SELATAN (1144020 Long : 134.0008674 Lat :  -0.9135107',,,,,,,
91,12,PAPUA BARAT,MANOKWARI (1144020 Long : 134.0620421 Lat : -0.8614531',,,,,,,
91,71,PAPUA BARAT,SORONG,1144016,131.255828,-0.876163;;;;;;,,,,
94,1,PAPUA,MERAUKE,1144016,139.041312,-7.783833;;;;;;,,,,
94,2,PAPUA,JAYAWIJAYA,1144016,138.799512,-4.000448;;;;;;,,,,
94,3,PAPUA,JAYAPURA,1144016,139.854727,-2.987923;;;;;;,,,,
94,4,PAPUA,NABIRE,1144016,135.501625,-3.372225;;;;;;,,,,
94,8,PAPUA,KEPULAUAN YAPEN,1144016,136.170901,-1.746936;;;;;;,,,,
94,9,PAPUA,BIAK NUMFOR,1144016,135.980085,-1.038102;;;;;;,,,,
94,10,PAPUA,PANIAI,1144016,136.362469,-3.787644;;;;;;,,,,
94,11,PAPUA,PUNCAK JAYA,1144016,137.159507,-4.078728 ;;;;;;,,,,
94,12,PAPUA,MIMIKA,1144016,136.4922,-4.722688;;;;;;,,,,
94,13,PAPUA,BOVEN DIGOEL,1144108,140.3481835,-5.7400018;;;;;;,,,,
94,14,PAPUA,MAPPI,1144108,139.6911374,-6.7606468;;;;;;,,,,
94,15,PAPUA,ASMAT,1144108,138.3988186,-5.0573958;;;;;;,,,,
94,16,PAPUA,YAHUKIMO,1144108,139.5279996,-4.4939717;;;;;;,,,,
94,17,PAPUA,PEGUNUNGAN BINTANG,1144108,140.5135589,-4.5589872;;;;;;,,,,
94,18,PAPUA,TOLIKARA,1144108,138.4787258,-3.481132;;;;;;,,,,
94,19,PAPUA,SARMI,1144108,139.2030851,-2.4678144;;;;;;,,,,
94,20,PAPUA,KEEROM,1144108,140.7624493,-3.3449536;;;;;;,,,,
94,26,PAPUA,WAROPEN,1144108,136.670534,-2.8435717;;;;;;,,,,
94,27,PAPUA,SUPIORI,1144108,135.6385125,-0.7295099;;;;;;,,,,
94,28,PAPUA,MAMBERAMO RAYA,1144069,137.7637565,-2.5331255;;;;;;,,,,
94,29,PAPUA,NDUGA,1144069,138.2393528,-4.4069496;;;;;;,,,,
94,30,PAPUA,LANNY JAYA,1144069,138.3190276,-3.971033;;;;;;,,,,
94,31,PAPUA,MAMBERAMO TENGAH,1144069,138.3190276,-2.3745692;;;;;;,,,,
94,32,PAPUA,YALIMO,1144069,139.4466005,-3.7852847;;;;;;,,,,
94,33,PAPUA,PUNCAK,1144069,137.6061625,-3.8649098;;;;;;,,,,
94,34,PAPUA,DOGIYAI,144069,135.6763443,-4.0454139;;;;;;,,,,
94,35,PAPUA,INTAN JAYA,1144069,136.7478493,-3.5076422;;;;;;,,,,
94,36,PAPUA,DEIYAI,1144069,136.4393054,-4.0974893;;;;;;,,,,
94,71,PAPUA,JAYAPURA,1144069,140.6689995,-2.5916025;;;;;;,,,,
